Name,Category,Windows App?,In B_installed_windows_software.csv?,macOS Package(s),Source / URL,Notes,Can be synched to macOS alternative,macOS Alternative Type,Download URL
WinRAR,Archiving,"Yes, exists on Windows",Yes (CSV row present),keka (Cask) + rar/unrar (Homebrew formula),keka.io; rarlab.com,"WinRAR has no macOS GUI. Keka reads and writes RAR/7z/zip natively, and the official rar/unrar command line runs on macOS.","No, manual transfer",Native (Homebrew Cask) + CLI,https://www.keka.io/en/
Internet Download Manager (IDM),Download Manager,"Yes, exists on Windows",Yes (CSV row present),folx (Cask) + free-download-manager (Cask),eltima.com/products/folx; freedownloadmanager.org,"IDM is Windows-only. Folx is the macOS-native download manager with browser integration; Free Download Manager is the free option.","No, manual transfer",Native (Homebrew Cask),https://mac.eltima.com/download-manager.html
Microsoft 365 / Office,Office Suite,"Yes, exists on Windows",Yes (CSV row present),microsoft-office (Homebrew Cask),microsoft.com/microsoft-365,"THE SAME Office you used on Windows: Word, Excel, PowerPoint, Outlook and OneNote all have full native macOS builds. Sign in with the same account. LibreOffice remains the free fallback.",Yes,Native (Homebrew Cask),https://www.microsoft.com/microsoft-365
Visual Studio Community 2026,IDE,"Yes, exists on Windows",Yes (CSV row present),visual-studio-code (Cask) + rider (Cask) + dotnet-sdk (Cask),code.visualstudio.com; jetbrains.com/rider; dotnet.microsoft.com,"Visual Studio for Mac was retired in 2024. VS Code with the C# Dev Kit, or JetBrains Rider, is the supported macOS path; the .NET SDK is fully native.","No, manual transfer",Native (Homebrew Cask),https://code.visualstudio.com/download
Visual Studio Build Tools 2026,Build Tools,"Yes, exists on Windows",Yes (CSV row present),dotnet-sdk (Cask) + Xcode Command Line Tools + cmake/ninja (Homebrew),dotnet.microsoft.com; developer.apple.com,"The .NET SDK, clang/LLVM (via xcode-select --install) and CMake/Ninja give the same build toolchain natively on macOS.","No, manual transfer",Native (Homebrew Cask),https://dotnet.microsoft.com/download
Adobe Digital Editions,eBook / DRM,"Yes, exists on Windows",Yes (CSV row present),adobe-digital-editions (Cask) + calibre (Cask) + built-in Books,adobe.com; calibre-ebook.com,"Adobe Digital Editions has a native macOS build (Adobe DRM / ACSM support); Books is built into macOS and calibre manages the library.","No, manual transfer",Native (Homebrew Cask),https://www.adobe.com/solutions/ebook/digital-editions/download.html
VMware Workstation,Virtualization,"Yes, exists on Windows",Yes (CSV row present),vmware-fusion (Homebrew Cask),support.broadcom.com,"VMware Fusion is the macOS edition of Workstation and is free for personal use (a Broadcom account is needed for the download). Parallels Desktop and UTM are the alternatives.","No, manual transfer",Native (Homebrew Cask),https://www.vmware.com/products/desktop-hypervisor/workstation-and-fusion
Gurobi,Optimization Solver,"Yes, exists on Windows",Yes (CSV row present),Gurobi macOS installer (commercial) + glpk / cbc (Homebrew formulae),gurobi.com (license-gated),"MANUAL section, commercial solver with a native macOS build. The free alternatives (glpk/cbc) install automatically first.","No, manual transfer",Native (manual install) + Homebrew,https://www.gurobi.com/downloads/
SpotPlayer,Streaming,"Yes, exists on Windows",Yes (CSV row present),SpotPlayer macOS build (.dmg),spotplayer.ir,MANUAL section with an explicit warning about the unverified source. Not auto-installed.,"No, manual transfer",Native (manual install),https://spotplayer.ir/
RStudio,Data Science,"Yes, exists on Windows",Yes (CSV row present),rstudio (Homebrew Cask) + r (Homebrew Cask),posit.co/download/rstudio-desktop,Posit ships a native macOS build (Apple Silicon supported); CRAN ships a native R.,"No, manual transfer",Native (Homebrew Cask),https://posit.co/download/rstudio-desktop/
RealVNC Viewer,Remote Desktop,"Yes, exists on Windows",Yes (CSV row present),vnc-viewer (Homebrew Cask),realvnc.com,"RealVNC Viewer has a native macOS build. macOS also has Screen Sharing built in (vnc:// URLs work out of the box).","No, manual transfer",Native (Homebrew Cask),https://www.realvnc.com/en/connect/download/viewer/
Pinta,Image Editor,"Yes, exists on Windows",Yes (CSV row present),pinta (Homebrew Cask),pinta-project.com,Simple raster editor - the closest free macOS-native Paint.NET replacement (Acorn is the paid option).,"No, manual transfer",Native (Homebrew Cask),https://www.pinta-project.com/releases/
LanguageTool,Grammar / Writing,"No, best macOS alternative for Grammarly","Yes (Grammarly CSV row present, LanguageTool listed as alternative)",languagetool (Homebrew Cask),languagetool.org,"Native macOS app plus Safari/Chrome extensions; the free, privacy-friendly Grammarly alternative.","No, manual transfer",Native (Homebrew Cask),https://languagetool.org/mac
Proton VPN,VPN,"No, best macOS alternative for Hotspot Shield / Psiphon","Yes (Hotspot Shield / Psiphon CSV rows present, Proton VPN listed as alternative)",protonvpn (Homebrew Cask),protonvpn.com,Official native macOS app. Replaces both Hotspot Shield and Psiphon.,Yes,Native (Homebrew Cask),https://protonvpn.com/download-macos
Wine,Compatibility Layer,"No, macOS-only dependency",No,wine-stable (Homebrew Cask) + Rosetta 2 on Apple Silicon,wiki.winehq.org,"Windows compatibility layer, needed to run Windows-exclusive apps. It is an x86_64 build, so Apple Silicon needs Rosetta 2 (installed automatically). NOTE: macOS has had no 32-bit runtime since Catalina, so 32-bit Windows installers need CrossOver or a VM instead.","No, manual transfer",Native (Homebrew Cask),https://wiki.winehq.org/MacOS
CrossOver,Compatibility Layer,"No, additional Windows-app option",No,crossover (Homebrew Cask),codeweavers.com,"Commercial, supported Wine with its own 32-bit layer and a Game Porting Toolkit backend - the route for Windows apps that plain Wine cannot run.","No, manual transfer",Native (Homebrew Cask),https://www.codeweavers.com/crossover/download
Parallels Desktop,Virtualization,"No, macOS-only virtualization option",No,parallels (Homebrew Cask),parallels.com,macOS-ONLY software. The smoothest way to keep running the handful of Windows apps that have no macOS build at all (Coherence mode puts them in the macOS Dock).,"No, manual transfer",Native (Homebrew Cask),https://www.parallels.com/products/desktop/download/
UTM,Virtualization,"No, additional virtualization option",No,utm (Homebrew Cask),mac.getutm.app,Free QEMU/Apple-Virtualization front end - runs Linux and Windows-on-ARM VMs on Apple Silicon.,"No, manual transfer",Native (Homebrew Cask),https://mac.getutm.app/
VirtualBox,Virtualization,"No, additional virtualization option",No,virtualbox (Homebrew Cask),virtualbox.org,"Oracle VirtualBox: full support on Intel Macs, developer preview on Apple Silicon.","No, manual transfer",Native (Homebrew Cask),https://www.virtualbox.org/wiki/Downloads
PostgreSQL,Database,"No, installed as a dependency for pgAdmin/pgNow workflows",No (pgAdmin and pgNow ARE in CSV),postgres-unofficial (Postgres.app Cask) or postgresql@16 (Homebrew formula),postgresapp.com; formulae.brew.sh,Postgres.app is the one-click macOS server; the Homebrew formula is the CLI/service route. Installed alongside pgAdmin for a full database environment.,"No, manual transfer",Native (Homebrew Cask),https://postgresapp.com/
Docker Desktop,Container Runtime,"Yes, exists on Windows as Docker Desktop",Yes (Docker Desktop CSV row present),docker-desktop (Homebrew Cask) or colima + docker (Homebrew formulae),docker.com; github.com/abiosoft/colima,"macOS runs containers inside a lightweight VM either way. Docker Desktop is the GUI option; colima is free, headless and works on both architectures.",Yes,Native (Homebrew Cask),https://www.docker.com/products/docker-desktop/
Homebrew,Package Manager,"No, macOS-only dependency",No,Homebrew (installed automatically by the toolkit),brew.sh,The package manager this whole toolkit installs applications with. execute_all.sh installs it (plus the Xcode Command Line Tools) on first run if it is missing.,"No, manual transfer",Native (install script),https://brew.sh/
mas,Package Manager,"No, macOS-only dependency",No,mas (Homebrew formula),github.com/mas-cli/mas,"Mac App Store command line, used for Store-only apps (Xcode, iMovie, Logic Pro, LINE, ...). You must be signed in to the App Store for it to work.","No, manual transfer",Native (Homebrew formula),https://github.com/mas-cli/mas
Microsoft OneNote,Notes,"Yes, exists on Windows",Yes (Microsoft To Do + Sticky Notes are in CSV),microsoft-onenote (Cask) + obsidian (Cask) + built-in Notes,onenote.com; obsidian.md,"OneNote has a free native macOS build and syncs the same notebooks. Apple Notes is built in, and Obsidian covers linked local-first notes.",Yes,Native (Homebrew Cask),https://www.onenote.com/download
Sticky Notes,Notes,"Yes, exists on Windows",Yes (CSV row present),Stickies (built into macOS) + Notes (built into macOS),support.apple.com,Stickies is the macOS desktop sticky-note app; Notes syncs across your devices via iCloud. Nothing to install.,Yes,Built into macOS,https://support.apple.com/guide/stickies/welcome/mac
CopyQ,Clipboard,"No, best macOS alternative for Windows clipboard history",No,copyq (Homebrew Cask),github.com/hluk/CopyQ,Clipboard manager with searchable history - the Win+V replacement. Set its hotkey in CopyQ > Preferences > Shortcuts (Command+Shift+V). Raycast and Alfred also keep clipboard history.,"No, manual transfer",Native (Homebrew Cask),https://hluk.github.io/CopyQ/
Discord,Messaging,"No, hardcoded inclusion",No,discord (Homebrew Cask),discord.com,Official native macOS client (voice/video/text chat).,Yes,Native (Homebrew Cask),https://discord.com/download
WhatsApp,Messaging,"No, hardcoded inclusion",No,whatsapp (Homebrew Cask),whatsapp.com,"WhatsApp ships an OFFICIAL native macOS app - unlike Linux, no unofficial wrapper is needed.",Yes,Native (Homebrew Cask),https://www.whatsapp.com/download
Rectangle,Window Management,"No, best macOS alternative for Windows Snap / FancyZones",No,rectangle (Homebrew Cask),rectangleapp.com,macOS had no Windows-style window snapping before Sequoia. Rectangle restores the keyboard-driven half/quarter tiling you are used to.,"No, manual transfer",Native (Homebrew Cask),https://rectangleapp.com/
Raycast,Launcher,"No, best macOS alternative for Windows Search / PowerToys Run",No,raycast (Homebrew Cask),raycast.com,"Spotlight replacement with clipboard history, window management, snippets and an extension store - the closest thing to PowerToys Run on macOS.",Yes,Native (Homebrew Cask),https://www.raycast.com/
